# Category: Greetings and Basic Expressions
こんにちは,hello
おはようございます,good morning
こんばんは,good evening
さようなら,goodbye
おやすみなさい,good night
ありがとうございます,thank you
どういたしまして,you're welcome
すみません,excuse me/sorry
はい,yes
いいえ,no
お願いします,please
どうぞ,please (offering)
失礼します,excuse me (leaving)
ごめんなさい,I'm sorry
はじめまして,nice to meet you
よろしくお願いします,please treat me well
お疲れ様です,good work
いただきます,thanks for the food (before eating)
ごちそうさま,thanks for the food (after eating)
おめでとう,congratulations

# Category: Basic Verbs
行く(いく),to go
来る(くる),to come
見る(みる),to see/watch
聞く(きく),to hear/listen
食べる(たべる),to eat
飲む(のむ),to drink
寝る(ねる),to sleep
起きる(おきる),to wake up
話す(はなす),to speak
書く(かく),to write
読む(よむ),to read
買う(かう),to buy
売る(うる),to sell
作る(つくる),to make
使う(つかう),to use
待つ(まつ),to wait
笑う(わらう),to laugh
泣く(なく),to cry
走る(はしる),to run
歩く(あるく),to walk
座る(すわる),to sit
立つ(たつ),to stand
開ける(あける),to open
閉める(しめる),to close
始める(はじめる),to begin
終わる(おわる),to end
教える(おしえる),to teach
学ぶ(まなぶ),to learn
働く(はたらく),to work
休む(やすむ),to rest
遊ぶ(あそぶ),to play
返す(かえす),to return something
帰る(かえる),to return home
切る(きる),to cut
洗う(あらう),to wash
会う(あう),to meet
思う(おもう),to think
考える(かんがえる),to consider
忘れる(わすれる),to forget
覚える(おぼえる),to remember

# Category: Time-Related Words
時間(じかん),time
分(ふん),minute
秒(びょう),second
今(いま),now
後(あと),after/later
前(まえ),before
朝(あさ),morning
昼(ひる),noon/afternoon
夜(よる),night
夕方(ゆうがた),evening
今日(きょう),today
明日(あした),tomorrow
昨日(きのう),yesterday
今週(こんしゅう),this week
来週(らいしゅう),next week
先週(せんしゅう),last week
今月(こんげつ),this month
来月(らいげつ),next month
去年(きょねん),last year
来年(らいねん),next year
一月(いちがつ),January
二月(にがつ),February
三月(さんがつ),March
四月(しがつ),April
五月(ごがつ),May
六月(ろくがつ),June
七月(しちがつ),July
八月(はちがつ),August
九月(くがつ),September
十月(じゅうがつ),October
十一月(じゅういちがつ),November
十二月(じゅうにがつ),December
