category,english,kanji,kana
100 useful adjectives (A to L),able,有能,ゆうのう
100 useful adjectives (A to L),admirable,立派な,りっぱな
100 useful adjectives (A to L),annoying,詰らない,なじらない
100 useful adjectives (A to L),appalling,恐ろしい,おそろしい
100 useful adjectives (A to L),attentive,注意深い,ちゅういぶかい
100 useful adjectives (A to L),attractive,魅力的な,みりょくてきな
100 useful adjectives (A to L),automatic,じどうてき,じどうてき
100 useful adjectives (A to L),bad,悪い,わるい
100 useful adjectives (A to L),bearable,耐えられる,たえられる
100 useful adjectives (A to L),beautiful,綺麗,きれい
100 useful adjectives (A to L),big,大きい,おおきい
100 useful adjectives (A to L),bitter,苦い,にがい
100 useful adjectives (A to L),bored,つまらなそう,つまらなそう
100 useful adjectives (A to L),broken,壊れた,こわれた
100 useful adjectives (A to L),bulky,分厚い,ぶあつい
100 useful adjectives (A to L),busy,占有,せんゆう
100 useful adjectives (A to L),captivating,魅力的,みりょくてき
100 useful adjectives (A to L),careful,慎重な,しんちょうな
100 useful adjectives (A to L),catastrophic,悲惨,ひさん
100 useful adjectives (A to L),charming,愛しい,いとしい
100 useful adjectives (A to L),classic,古典的,こてんてき
100 useful adjectives (A to L),clean,きれい,きれい
100 useful adjectives (A to L),clear,明るい,あかるい
100 useful adjectives (A to L),closed,閉じた,とじた
100 useful adjectives (A to L),clumsy,動きが鈍い,うごきがにぶい
100 useful adjectives (A to L),colored,色鮮やか,いろせんやか
100 useful adjectives (A to L),comfortable,快適,かいてき
100 useful adjectives (A to L),commercial,営利的,えいりてき
100 useful adjectives (A to L),common,普通,ふつう
100 useful adjectives (A to L),complex,複雑,ふくざつ
100 useful adjectives (A to L),confident,強気,つよき
100 useful adjectives (A to L),convenient,べんり,べんり
100 useful adjectives (A to L),convincing,説得上手,せっとくじょうず
100 useful adjectives (A to L),cool,涼しい,すずしい
100 useful adjectives (A to L),credible,尤もらしい,もっともらしい
100 useful adjectives (A to L),cultural,文化的,ぶんかてき
100 useful adjectives (A to L),curious,好奇心旺盛,こうきしんおうせい
100 useful adjectives (A to L),cute,可愛い,かわい
100 useful adjectives (A to L),dangerous,危ない,あぶない
100 useful adjectives (A to L),dark,暗い,くらい
100 useful adjectives (A to L),dazzling,眩しい,まぶしい
100 useful adjectives (A to L),dead,亡い,ない
100 useful adjectives (A to L),deadly,致命的,ちめいてき
100 useful adjectives (A to L),deep,深く,ふかく
100 useful adjectives (A to L),delicious,美味しい,おいしい
100 useful adjectives (A to L),democratic,民主的,みんしゅてき
100 useful adjectives (A to L),determined,きつい,きつい
100 useful adjectives (A to L),different,別,べつ
100 useful adjectives (A to L),difficult,難しい,むずかしい
100 useful adjectives (A to L),dirty,汚い,きたない
100 useful adjectives (A to L),salted,塩漬けの,しおづけの
100 useful adjectives (A to L),disgusting,気持ち悪い,きもちわるい
100 useful adjectives (A to L),distant,遠い,とおい
100 useful adjectives (A to L),dry,乾燥,かんそう
100 useful adjectives (A to L),dynamic,動的,どうてき
100 useful adjectives (A to L),easy,優しい,やさしい
100 useful adjectives (A to L),economic,経済的,けいざいてき
100 useful adjectives (A to L),edible,食用,しょくよう
100 useful adjectives (A to L),effective,効果的,こうかてき
100 useful adjectives (A to L),electric,でんきしき,でんきしき
100 useful adjectives (A to L),electronic,電子的,でんしてき
100 useful adjectives (A to L),elegant,雅やか,みやびやか
100 useful adjectives (A to L),empty,空虚な,くうきょな
100 useful adjectives (A to L),energetic,活発な,かっぱつな
100 useful adjectives (A to L),enthusiastic,熱心,ねっしん
100 useful adjectives (A to L),equivalent,等しい,ひとしい
100 useful adjectives (A to L),exact,正確,せいかく
100 useful adjectives (A to L),expensive,高い,たかい
100 useful adjectives (A to L),far,遠い,とおい
100 useful adjectives (A to L),fearful,恐ろしい,おそろしい
100 useful adjectives (A to L),filled,満杯の,まんぱいの
100 useful adjectives (A to L),former,古い,ふるい
100 useful adjectives (A to L),fortunate,幸運な,こううんな
100 useful adjectives (A to L),fragile,脆い,もろい
100 useful adjectives (A to L),frequent,ありがち,ありがち
100 useful adjectives (A to L),friendly,優しい,やさしい
100 useful adjectives (A to L),funny,可笑しい,おかしい
100 useful adjectives (A to L),generous,寛大,かんだい
100 useful adjectives (A to L),gifted,天才的,てんさいてき
100 useful adjectives (A to L),gigantic,巨大,きょだい
100 useful adjectives (A to L),global,世界的,せかいてき
100 useful adjectives (A to L),gorgeous,素晴らしい,すばらしい
100 useful adjectives (A to L),great,スーパー,すーぱー
100 useful adjectives (A to L),guilty,後ろめたい,うしろめたい
100 useful adjectives (A to L),happy,嬉しい,うれしい
100 useful adjectives (A to L),hard,大変,たいへん
100 useful adjectives (A to L),heavy,重い,おもい
100 useful adjectives (A to L),high,高い,たかい
100 useful adjectives (A to L),honest,正直,しょうじき
100 useful adjectives (A to L),horrible,恐ろしい,おそろしい
100 useful adjectives (A to L),hot,暑い,あつい
100 useful adjectives (A to L),huge,巨大,きょだい
100 useful adjectives (A to L),ideal,最良,さいりょう
100 useful adjectives (A to L),identical,同じ,おなじ
100 useful adjectives (A to L),idiot,馬鹿,ばか
100 useful adjectives (A to L),illegal,違法,いほう
100 useful adjectives (A to L),immediate,直接,ちょくせつ
100 useful adjectives (A to L),immense,巨大,きょだい
100 useful adjectives (A to L),important,大切,たいせつ
100 useful adjectives (A to L),impossible,不可能,ふかのう
100 useful adjectives (A to L),impressive,印象的,いんしょうてき
100 useful adjectives (A to L),independent,自主的,じしゅてき
100 useful adjectives (A to L),innocent,むこ,むこ
100 useful adjectives (A to L),insignificant,下らない,くだらない
100 useful adjectives (A to L),insufficient,たりない,たりない
100 useful adjectives (A to L),interesting,面白い,おもしろい
100 useful adjectives (A to L),international,国際的,こくさいてき
100 useful adjectives (A to L),inventive,独創的,どくそうてき
100 useful adjectives (A to L),jealous,羨ましい,うらやましい
100 useful adjectives (A to L),kind,優しい,やさしい
100 useful adjectives (A to L),large,広い,ひろい
100 useful adjectives (A to L),latest,最終,さいしゅう
100 useful adjectives (A to L),legal,合法的,ごうほうてき
100 useful adjectives (A to L),light,軽い,かるい
100 useful adjectives (A to L),little,少し,すこし
100 useful adjectives (A to L),living,生活,せいかつ
100 useful adjectives (A to L),long,長い,ながい
100 useful adjectives (A to L),low,弱い,よわい
100 useful adjectives (M to Z),magnificent,綺麗,きれい
100 useful adjectives (M to Z),mean,意地悪,いじわる
100 useful adjectives (M to Z),missing,ゆくえふめい,ゆくえふめい
100 useful adjectives (M to Z),mistrustful,用心深い,ようじんぶかい
100 useful adjectives (M to Z),modern,近代的,きんだいてき
100 useful adjectives (M to Z),motionless,不動,ふどう
100 useful adjectives (M to Z),motivated,意欲的,いよくてき
100 useful adjectives (M to Z),moving,涙ぐましい,なみだぐましい
100 useful adjectives (M to Z),mysterious,不思議,ふしぎ
100 useful adjectives (M to Z),narrow,狭い,せまい
100 useful adjectives (M to Z),natural,自然,しぜん
100 useful adjectives (M to Z),near,近い,ちかい
100 useful adjectives (M to Z),necessary,必要な,ひつような
100 useful adjectives (M to Z),nervous,神経質な,しんけいしつな
100 useful adjectives (M to Z),new,新しい,あたらしい
100 useful adjectives (M to Z),next,次,つぎ
100 useful adjectives (M to Z),noisy,やかましい,やかましい
100 useful adjectives (M to Z),nostalgic,郷愁,きょうしゅう
100 useful adjectives (M to Z),numerous,多くの,おおくの
100 useful adjectives (M to Z),obvious,明らかな,あきらかな
100 useful adjectives (M to Z),official,せいしき,せいしき
100 useful adjectives (M to Z),old,古い,ふるい
100 useful adjectives (M to Z),optimistic,らっかんてき,らっかんてき
100 useful adjectives (M to Z),ordinary,なみたいてい,なみたいてい
100 useful adjectives (M to Z),original,ゆにいく,ゆにいく
100 useful adjectives (M to Z),overcrowded,過密の,かみつの
100 useful adjectives (M to Z),patient,きがながい,きがながい
100 useful adjectives (M to Z),perfect,完全な,かんぜんな
100 useful adjectives (M to Z),persevering,粘り強い,ねばりづよい
100 useful adjectives (M to Z),pessimistic,えんせいてき,えんせいてき
100 useful adjectives (M to Z),pissed off,憤ろしい,いきどーろしい
100 useful adjectives (M to Z),pleasant,快適,かいてき
100 useful adjectives (M to Z),pleasant,楽しい,たのしい
100 useful adjectives (M to Z),poor,貧乏な,びんぼうな
100 useful adjectives (M to Z),positive,正の,まさの
100 useful adjectives (M to Z),possible,可能な,かのうな
100 useful adjectives (M to Z),powerful,強力な,きょうりょくな
100 useful adjectives (M to Z),precious,貴重な,きちょうな
100 useful adjectives (M to Z),pretentious,きざ,きざ
100 useful adjectives (M to Z),private,私的な,してきな
100 useful adjectives (M to Z),public,公共の,こうきょうの
100 useful adjectives (M to Z),quick,速く,はやく
100 useful adjectives (M to Z),quiet,静かな,しずかな
100 useful adjectives (M to Z),rare,珍しい,めずらしい
100 useful adjectives (M to Z),realistic,現実的な,げんじつてきな
100 useful adjectives (M to Z),recent,最近の,さいきんの
100 useful adjectives (M to Z),recycled,再生の,さいせいの
100 useful adjectives (M to Z),regular,正規の,せいきの
100 useful adjectives (M to Z),religious,宗教上の,しゅうきょうじょうの
100 useful adjectives (M to Z),remarkable,驚くべき,おどろくべき
100 useful adjectives (M to Z),responsible,責任ある,せきにんある
100 useful adjectives (M to Z),rich,豊富な,ほうふな
100 useful adjectives (M to Z),romantic,ロマンチック,ろまんちっく
100 useful adjectives (M to Z),rotten,腐った,くさった
100 useful adjectives (M to Z),sad,悲しい,かなしい
100 useful adjectives (M to Z),satisfactory,満足のいく,まんぞくのいく
100 useful adjectives (M to Z),satisfied,満足した,まんぞくした
